Unnamed: 0,optA,value,slr,L,s1,lon,lat,popdens,waveclim
Canada5106,,,,,,,,0.0,1.25
Canada5115,,,,,,,,0.0,1.25
Canada5120,,,,,,,,0.0,1.25
Canada5132,,,,,,,,0.0,1.25
Canada5166,,,,,,,,0.0,1.25
Canada5167,,,,,,,,0.0,1.25
Canada5202,,,,,,,,0.0,1.25
Canada5168,,,,,,,,0.0,1.25
Canada5169,,,,,,,,0.0,1.25
Canada5171,,,,,,,,0.0,1.25
Canada5172,,,,,,,,0.0,1.25
Canada5173,,,,,,,,0.0,1.25
Canada5175,,,,,,,,0.0,1.25
Canada5177,,,,,,,,0.0,1.25
Canada5178,,,,,,,,0.0,1.25
Canada5179,,,,,,,,0.0,1.25
Canada5180,,,,,,,,0.0,1.25
Canada5181,,,,,,,,0.0,1.25
Canada5203,,,,,,,,0.0,1.25
Canada5204,,,,,,,,0.0,1.25
Canada5218,,,,,,,,0.0,1.25
Canada5221,,,,,,,,0.0,1.25
Canada5265,,,,,,,,0.0,1.25
Canada5266,,,,,,,,0.0,1.25
Canada5267,,,,,,,,0.0,1.25
Canada5268,,,,,,,,0.0,1.25
Canada5269,,,,,,,,0.0,1.25
Canada5270,,,,,,,,0.0,1.25
Canada5170,,,,,,,,0.0,1.25
Canada5353,,,,,,,,0.0,1.25
Canada5174,,,,,,,,0.0,1.25
Canada5176,,,,,,,,0.0,1.25
Canada5527,,,,,,,,0.0,1.25
Canada5691,,,,,,,,0.0,1.25
Canada7437,,,,,,,,0.0,1.25
Denmark7037,,,,,,,,0.033,1.25
Denmark7038,,,,,,,,0.0,1.25
Denmark7039,,,,,,,,0.033,1.25
Denmark7040,,,,,,,,0.0,1.25
Denmark7041,,,,,,,,0.033,1.25
Denmark7042,,,,,,,,0.0,1.25
Denmark7348,,,,,,,,0.033,1.25
Denmark7349,,,,,,,,0.0,1.25
Denmark7350,,,,,,,,0.033,1.25
Denmark7043,noAdaptation,,-1.12268,38.78,1.79,-64.78399999999999,80.905,0.033,1.25
Denmark7044,,,,,,,,0.0,1.25
Denmark7045,,,,,,,,0.033,1.25
Denmark7046,,,,,,,,0.0,1.25
Denmark7047,,,,,,,,0.033,1.25
Denmark7053,,,,,,,,0.033,1.25
Denmark7054,,,,,,,,0.0,1.25
Denmark7055,,,,,,,,0.033,1.25
Denmark7056,,,,,,,,0.0,1.25
Denmark7057,noAdaptation,,-0.106053,41.047,0.688,-49.942,81.88,0.033,1.25
Denmark7106,fullRetreat,0.0005613108406050001,-0.106053,191.80599999999998,0.688,-50.053000000000004,82.029,0.033,1.25
Denmark7107,,,,,,,,0.0,1.25
Denmark7108,,,,,,,,0.033,1.25
Denmark7961,,,,,,,,0.033,1.25
Denmark7964,,,,,,,,0.033,1.25
Denmark7058,,,,,,,,0.0,1.25
Denmark7105,,,,,,,,0.0,1.25
Denmark7117,,,,,,,,0.033,1.25
Denmark7118,,,,,,,,0.0,1.25
Denmark7125,noAdaptation,,-0.27658499999999997,469.38599999999997,0.7440000000000001,-44.041000000000004,82.446,0.033,1.25
Denmark7126,,,,,,,,0.0,1.25
Denmark7127,noAdaptation,,-0.27658499999999997,115.848,0.6920000000000001,-44.854,82.772,0.033,1.25
Denmark7135,,,,,,,,0.033,1.25
Denmark8017,,,,,,,,0.033,1.25
Denmark8018,,,,,,,,0.0,1.25
Denmark8019,,,,,,,,0.033,1.25
Denmark8022,,,,,,,,0.033,1.25
Denmark8080,,,,,,,,0.033,1.25
Denmark8101,,,,,,,,0.033,1.25
Denmark7119,noAdaptation,,-0.27658499999999997,46.847,0.8079999999999999,-44.708,81.759,0.033,1.25
Denmark7120,,,,,,,,0.0,1.25
Denmark7121,noAdaptation,,-0.27658499999999997,539.639,0.755,-44.736000000000004,82.23200000000001,0.033,1.25
Denmark7128,,,,,,,,0.0,1.25
Denmark7129,noAdaptation,,-0.27658499999999997,311.38599999999997,0.722,-42.85,82.77799999999999,0.033,1.25
Denmark7130,,,,,,,,0.0,1.25
Denmark7131,,,,,,,,0.033,1.25
Denmark7132,,,,,,,,0.0,1.25
Denmark7133,noAdaptation,,-0.27658499999999997,36.07,0.816,-39.891,82.655,0.033,1.25
Denmark7134,,,,,,,,0.0,1.25
Denmark8124,,,,,,,,0.033,1.25
Denmark8136,,,,,,,,0.033,1.25
Denmark8137,,,,,,,,0.0,1.25
Denmark8138,,,,,,,,0.0,1.25
Denmark8139,noAdaptation,,-0.27658499999999997,134.468,0.728,-41.448,83.242,0.033,1.25
Denmark8160,noAdaptation,,-0.27658499999999997,365.718,0.7240000000000001,-41.463,83.165,0.033,1.25
Denmark8168,,,,,,,,0.033,1.25
Denmark8188,noAdaptation,,-0.27658499999999997,460.281,0.755,-40.486999999999995,83.35799999999999,0.033,1.25
Denmark7136,,,,,,,,0.0,1.25
Denmark7137,noAdaptation,,-0.27658499999999997,85.712,0.818,-38.967,82.837,0.033,1.25
Denmark7139,,,,,,,,0.033,1.25
Denmark7140,,,,,,,,0.0,1.25
Denmark7141,,,,,,,,0.033,1.25
Denmark7143,noAdaptation,,-0.27658499999999997,1416.588,0.866,-32.019,83.052,0.032,1.25
Denmark7148,noAdaptation,,-0.27658499999999997,1242.435,0.8440000000000001,-30.476999999999997,83.07799999999999,0.033,1.25
Denmark8176,noAdaptation,,-0.27658499999999997,163.251,0.755,-39.489000000000004,83.37799999999999,0.033,1.25
Denmark8189,noAdaptation,,-0.27658499999999997,145.909,0.7709999999999999,-38.31,83.17399999999999,0.033,1.25
Denmark7150,noAdaptation,,-0.27658499999999997,2560.77,0.898,-25.741999999999997,82.149,0.033,1.25
Denmark7151,,,,,,,,0.0,1.25
Denmark7152,,,,,,,,0.0,1.25
Denmark7153,,,,,,,,0.0,1.25
Denmark7154,,,,,,,,0.0,1.25
Denmark7155,,,,,,,,0.0,1.25
Denmark7156,noAdaptation,,-0.27658499999999997,320.506,0.961,-30.521,81.889,0.033,1.25
Denmark7142,,,,,,,,0.0,1.25
Denmark7157,,,,,,,,0.0,1.25
Denmark7158,noAdaptation,,-0.27658499999999997,589.429,0.9109999999999999,-26.685,82.014,0.033,1.25
Denmark7163,noAdaptation,,-0.27658499999999997,575.112,0.993,-27.267,81.384,0.032,1.25
Denmark7149,,,,,,,,0.0,1.25
Denmark7164,,,,,,,,0.0,1.25
Denmark7165,,,,,,,,0.0,1.25
Denmark7166,,,,,,,,0.0,1.25
Denmark7167,noAdaptation,,-0.27658499999999997,24.193,0.927,-24.225,81.708,0.033,1.25
Denmark7168,,,,,,,,0.0,1.25
Denmark7169,noAdaptation,,-0.27658499999999997,177.368,0.898,-22.453000000000003,82.08,0.033,1.25
Denmark7170,noAdaptation,,-0.27658499999999997,201.0,0.96,-22.836,81.297,0.033,1.25
Denmark7171,noAdaptation,,-0.27658499999999997,258.931,1.025,-24.206,80.708,0.033,1.25
Denmark7176,noAdaptation,,-0.27658499999999997,425.88300000000004,0.998,-22.816,80.98100000000001,0.033,1.25
Denmark7177,,,,,,,,0.0,1.25
Denmark7178,,,,,,,,0.0,1.25
Denmark7179,,,,,,,,0.0,1.25
Denmark7180,,,,,,,,0.033,1.25
Denmark7181,,,,,,,,0.0,1.25
Denmark7182,,,,,,,,0.033,1.25
Denmark8252,,,,,,,,0.0,1.25
Denmark8253,,,,,,,,0.033,1.25
Denmark8254,,,,,,,,0.0,1.25
Denmark8292,,,,,,,,0.0,1.25
Denmark7183,,,,,,,,0.0,1.25
Denmark7184,,,,,,,,0.033,1.25
Denmark7185,,,,,,,,0.0,1.25
Denmark7186,,,,,,,,0.0,1.25
Denmark7187,,,,,,,,0.0,1.25
Denmark8316,noAdaptation,,-0.27658499999999997,63.93899999999999,0.885,-19.097,82.06700000000001,0.033,1.25
Denmark8317,,,,,,,,0.0,1.25
Denmark8318,noAdaptation,,-0.27658499999999997,34.406,0.868,-19.065,82.096,0.033,1.25
Denmark8319,,,,,,,,0.0,1.25
Denmark8320,noAdaptation,,-0.27658499999999997,19.485,0.9259999999999999,-18.802,81.994,0.033,1.25
Denmark8328,,,,,,,,0.0,1.25
Denmark8329,,,,,,,,0.0,1.25
Denmark8330,,,,,,,,0.0,1.25
Denmark8331,noAdaptation,,-0.27658499999999997,69.709,0.904,-18.896,81.809,0.033,1.25
Denmark8332,,,,,,,,0.0,1.25
Denmark7188,,,,,,,,0.033,1.25
Denmark7189,,,,,,,,0.0,1.25
Denmark7190,,,,,,,,0.0,1.25
Denmark7191,,,,,,,,0.0,1.25
Denmark6839,noAdaptation,,-1.12268,277.688,2.641,-71.91,77.437,0.033,1.25
Denmark6982,,,,,,,,0.033,1.25
Denmark7033,noAdaptation,,-1.12268,700.523,1.8359999999999999,-68.692,79.021,0.033,1.25
Denmark7048,,,,,,,,0.033,1.25
Denmark7049,,,,,,,,0.0,1.25
Denmark7050,,,,,,,,0.033,1.25
Denmark7052,,,,,,,,0.033,1.25
Denmark7287,noAdaptation,,-1.12268,68.322,2.418,-70.072,76.455,0.033,1.25
Denmark7296,,,,,,,,0.033,1.25
Denmark7034,,,,,,,,0.0,1.25
Denmark7036,,,,,,,,0.0,1.25
Denmark7051,,,,,,,,0.0,1.25
Denmark7059,,,,,,,,0.033,1.25
Denmark7060,,,,,,,,0.0,1.25
Denmark7061,noAdaptation,,-0.11807349999999998,79.015,1.9969999999999999,-67.937,76.04899999999999,0.033,1.25
Denmark7062,,,,,,,,0.0,1.25
Denmark7063,,,,,,,,0.033,1.25
Denmark7064,,,,,,,,0.0,1.25
Denmark7065,noAdaptation,,-0.11807349999999998,31.127,1.933,-67.069,76.139,0.033,1.25
Denmark7066,,,,,,,,0.0,1.25
Denmark7067,noAdaptation,,-0.11807349999999998,36.04,1.9369999999999998,-67.078,76.255,0.033,1.25
Denmark7068,,,,,,,,0.0,1.25
Denmark7069,noAdaptation,,-0.11807349999999998,98.91,1.882,-66.468,76.082,0.033,1.25
Denmark7070,,,,,,,,0.0,1.25
Denmark7071,noAdaptation,,-0.11807349999999998,18.567999999999998,1.84,-65.917,76.267,0.033,1.25
Denmark7072,,,,,,,,0.0,1.25
Denmark7073,,,,,,,,0.0,1.25
Denmark7074,,,,,,,,0.0,1.25
Denmark7075,,,,,,,,0.0,1.25
Denmark7076,,,,,,,,0.0,1.25
Denmark7077,noAdaptation,,-0.11807349999999998,19.146,1.8359999999999999,-65.75,76.06,0.033,1.25
Denmark7078,,,,,,,,0.0,1.25
Denmark7079,noAdaptation,,-0.11807349999999998,62.388000000000005,1.796,-65.20100000000001,76.167,0.033,1.25
Denmark8541,fullRetreat,488.14476875400004,0.12746,102.265,1.723,-7.3,62.153999999999996,31.962,6.5
Denmark8545,fullRetreat,790.6074864939999,0.12746,155.428,2.427,-7.206,62.291000000000004,31.962,6.5
Denmark8546,fullRetreat,1013.54867664,0.12746,130.265,2.115,-6.976,62.333,31.962,6.5
Denmark8548,fullRetreat,471.36226956699994,0.12746,81.359,1.6159999999999999,-6.857,61.907,31.962,6.5
Denmark8551,fullRetreat,290.16868821,0.12746,96.958,1.208,-6.93,61.641000000000005,31.962,6.5
Denmark8553,fullRetreat,696.428033836,0.12746,72.399,0.9309999999999999,-6.521,62.317,31.962,6.5
Iceland8269,noAdaptation,,-0.27658499999999997,438.74800000000005,1.278,-20.422,66.084,2.219,5.75
Iceland8270,noAdaptation,,-0.27658499999999997,826.25,1.092,-16.792,66.118,4.036,4.25
Iceland8271,fullRetreat,131.52656099,0.12746,783.8660000000001,1.1640000000000001,-13.585999999999999,65.251,1.497,4.25
Iceland8256,,,,,,,,1.699,6.5
Iceland8267,,,,,,,,1.394,5.75
Iceland8266,,,,,,,,0.169,5.75
Iceland8268,,,,,,,,0.788,5.75
Iceland8255,noAdaptation,,-0.27658499999999997,76.113,3.201,-21.703000000000003,64.395,3.049,6.5
Iceland8257,noAdaptation,,-0.27658499999999997,17.718,3.313,-22.087,64.329,886.58,6.5
Iceland8258,noAdaptation,,-0.27658499999999997,2.18,3.293,-22.031999999999996,64.298,277.169,6.5
Iceland8259,noAdaptation,,-0.27658499999999997,14.276,3.2539999999999996,-21.425,64.37100000000001,0.563,6.5
Iceland8260,noAdaptation,,-0.27658499999999997,198.738,2.865,-22.730999999999998,64.032,40.238,6.5
