Unnamed: 0,optA,value,slr,L,s1,lon,lat,popdens,waveclim
Canada5106,noAdaptation,,0.48556000000000005,86.08,0.41200000000000003,-122.645,75.918,0.0,1.25
Canada5115,noAdaptation,,0.48556000000000005,123.51,0.514,-121.031,75.891,0.0,1.25
Canada5120,noAdaptation,,0.48556000000000005,2860.4570000000003,0.319,-116.79899999999999,77.53399999999999,0.0,1.25
Canada5132,noAdaptation,,0.48556000000000005,467.98800000000006,0.63,-118.191,75.968,0.0,1.25
Canada5166,noAdaptation,,0.48556000000000005,520.491,0.965,-115.022,74.96300000000001,0.0,1.25
Canada5167,noAdaptation,,0.48556000000000005,1857.2089999999998,0.8909999999999999,-114.98200000000001,75.85300000000001,0.0,1.25
Canada5202,noAdaptation,,0.48556000000000005,204.602,0.775,-115.07700000000001,77.939,0.0,1.25
Canada5168,,,,,,,,0.0,1.25
Canada5169,,,,,,,,0.0,1.25
Canada5171,,,,,,,,0.0,1.25
Canada5172,,,,,,,,0.0,1.25
Canada5173,,,,,,,,0.0,1.25
Canada5175,,,,,,,,0.0,1.25
Canada5177,,,,,,,,0.0,1.25
Canada5178,,,,,,,,0.0,1.25
Canada5179,,,,,,,,0.0,1.25
Canada5180,,,,,,,,0.0,1.25
Canada5181,,,,,,,,0.0,1.25
Canada5203,,,,,,,,0.0,1.25
Canada5204,,,,,,,,0.0,1.25
Canada5218,,,,,,,,0.0,1.25
Canada5221,,,,,,,,0.0,1.25
Canada5265,,,,,,,,0.0,1.25
Canada5266,,,,,,,,0.0,1.25
Canada5267,,,,,,,,0.0,1.25
Canada5268,,,,,,,,0.0,1.25
Canada5269,,,,,,,,0.0,1.25
Canada5270,,,,,,,,0.0,1.25
Canada5170,,,,,,,,0.0,1.25
Canada5353,,,,,,,,0.0,1.25
Canada5174,,,,,,,,0.0,1.25
Canada5176,,,,,,,,0.0,1.25
Canada5527,,,,,,,,0.0,1.25
Canada5691,,,,,,,,0.0,1.25
Canada7437,noAdaptation,,0.13795,164.69099999999997,6.279,-67.92,60.537,0.0,1.25
Denmark7037,noAdaptation,,0.13795,606.342,1.845,-64.921,80.062,0.033,1.25
Denmark7038,,,,,,,,0.0,1.25
Denmark7039,,,,,,,,0.033,1.25
Denmark7040,,,,,,,,0.0,1.25
Denmark7041,fullRetreat,0.0016508107120100002,-0.10462,254.398,1.8430000000000002,-65.663,80.663,0.033,1.25
Denmark7042,,,,,,,,0.0,1.25
Denmark7348,,,,,,,,0.033,1.25
Denmark7349,,,,,,,,0.0,1.25
Denmark7350,,,,,,,,0.033,1.25
Denmark7043,noAdaptation,,-0.10462,38.78,1.79,-64.78399999999999,80.905,0.033,1.25
Denmark7044,,,,,,,,0.0,1.25
Denmark7045,noAdaptation,,0.13738,547.438,1.709,-63.019,80.88,0.033,1.25
Denmark7046,noAdaptation,,0.13738,47.203,1.618,-61.247,81.12100000000001,0.0,1.25
Denmark7047,noAdaptation,,0.13738,809.097,1.189,-59.765,81.913,0.033,1.25
Denmark7053,noAdaptation,,0.13738,1180.4489999999998,1.072,-57.408,82.17,0.033,1.25
Denmark7054,noAdaptation,,0.13738,3.687,0.597,-53.537,82.057,0.0,1.25
Denmark7055,noAdaptation,,0.13738,877.203,0.6779999999999999,-51.163999999999994,81.857,0.033,1.25
Denmark7056,noAdaptation,,0.13738,18.553,0.684,-50.208,81.904,0.0,1.25
Denmark7057,noAdaptation,,0.13738,41.047,0.688,-49.942,81.88,0.033,1.25
Denmark7106,fullRetreat,0.00483557304084,0.13738,191.80599999999998,0.688,-50.053000000000004,82.029,0.033,1.25
Denmark7107,noAdaptation,,0.13738,7.515,0.622,-50.838,82.35700000000001,0.0,1.25
Denmark7108,noAdaptation,,0.0653015,360.968,0.631,-49.782,82.51299999999999,0.033,1.25
Denmark7961,noAdaptation,,0.13738,114.62100000000001,0.607,-52.099,82.291,0.033,1.25
Denmark7964,noAdaptation,,0.13738,503.853,0.5920000000000001,-52.953,82.32600000000001,0.033,1.25
Denmark7058,noAdaptation,,0.13738,6.806,0.696,-49.727,81.878,0.0,1.25
Denmark7105,noAdaptation,,0.13738,3.359,0.718,-49.681999999999995,81.882,0.0,1.25
Denmark7117,noAdaptation,,0.0653015,386.088,0.731,-46.472,82.105,0.033,1.25
Denmark7118,noAdaptation,,0.0653015,9.271,0.883,-44.958,81.773,0.0,1.25
Denmark7125,noAdaptation,,0.0653015,469.38599999999997,0.7440000000000001,-44.041000000000004,82.446,0.033,1.25
Denmark7126,noAdaptation,,0.0653015,4.633,0.6829999999999999,-45.396,82.781,0.0,1.25
Denmark7127,fullRetreat,0.00581836859084,0.0653015,115.848,0.6920000000000001,-44.854,82.772,0.033,1.25
Denmark7135,noAdaptation,,0.0653015,2707.703,0.706,-43.468,82.912,0.033,1.25
Denmark8017,fullRetreat,0.0390747775495,0.0653015,169.132,0.643,-48.793,82.557,0.033,1.25
Denmark8018,noAdaptation,,0.0653015,1.547,0.659,-48.036,82.46600000000001,0.0,1.25
Denmark8019,noAdaptation,,0.0653015,21.136999999999997,0.6609999999999999,-48.119,82.40700000000001,0.033,1.25
Denmark8022,noAdaptation,,0.0653015,222.729,0.664,-48.089,82.88600000000001,0.033,1.25
