,optA,value,slr,L,s1,lon,lat
Spain310,fullRetreat,1193.43539612,0.2812,14.009,0.954,-0.567,38.238
Spain311,fullProtect,0.5372,0.2812,22.008,1.437,-0.307,39.344
Spain312,fullRetreat,6380.09611001,0.2812,33.879,0.901,-0.223,39.108
Spain313,fullRetreat,1749.56553261,0.2812,12.675,1.023,-0.164,39.755
Spain314,fullRetreat,7382.38206224,0.2812,19.936,1.029,-0.244,39.632
Spain315,fullProtect,0.9742,0.2812,14.303,1.181,-0.324,39.501
Spain318,fullProtect,0.4552,0.2812,17.758,1.179,-0.044,39.888
Spain319,fullRetreat,1481.29515865,0.2812,4.776,1.081,-0.116,39.817
Spain303,fullRetreat,567.292882482,0.2812,11.993,0.805,0.132,38.679
Spain288,fullRetreat,65.6225582294,0.290025,24.633,0.584,-1.719,37.308
Spain289,fullRetreat,155.420236891,0.290025,7.728,0.62,-1.601,37.388
Spain290,fullRetreat,1017.68427398,0.2812,46.279,0.645,-1.404,37.517
Spain291,fullRetreat,147.107231959,0.2812,25.639,0.722,-1.093,37.578
Spain292,fullRetreat,235.924596764,0.2812,7.356,0.783,-0.951,37.556
Spain294,fullRetreat,157.45889236,0.2812,5.855,0.909,-0.825,37.771
Spain295,fullRetreat,629.170189694,0.2812,51.158,0.769,-0.704,37.623
Spain250,fullRetreat,648.032347351,0.418285,16.645,2.296,-7.399,37.186
Spain251,fullRetreat,213.006315514,0.418285,9.585,2.316,-7.292,37.202
Spain252,fullRetreat,386.783856053,0.418285,23.43,2.371,-7.145,37.219
Spain253,fullRetreat,16107.0891918,0.418285,21.547,2.496,-6.976,37.199
Spain254,fullRetreat,643.578869209,0.418285,1.722,2.493,-6.911,37.172
Spain255,fullProtect,1.182285,0.418285,0.174,2.517,-6.905,37.166
Spain256,fullRetreat,957.453811869,0.418285,3.574,2.546,-6.89,37.159
Spain257,fullRetreat,851.474128967,0.418285,66.615,2.374,-6.602,37.031
Spain258,fullRetreat,560.741505325,0.541,9.402,2.517,-6.38,36.826
Spain259,fullRetreat,4855.57636064,0.57048,51.917,2.37,-6.351,36.619
Spain260,fullRetreat,100175.298703,0.570075,18.914,2.149,-6.257,36.473
Spain261,fullRetreat,1946.10216218,0.570075,3.644,2.083,-6.218,36.391
Spain262,fullRetreat,1198.88704535,0.570075,8.158,2.066,-6.187,36.348
Spain263,fullRetreat,790.517379176,0.570075,12.329,1.943,-6.13,36.276
Spain264,fullRetreat,1799.57431375,0.570075,34.218,1.59,-5.961,36.182
Spain265,fullRetreat,24.3585535355,0.305845,27.577,1.263,-5.73,36.05
Spain266,fullRetreat,27.3906854192,0.305845,14.67,1.035,-5.55,36.024
Spain267,fullRetreat,4934.01443382,0.305845,18.848,0.893,-5.43,36.088
Spain268,fullRetreat,1119.03740485,0.305845,6.711,0.943,-5.404,36.177
Spain269,fullRetreat,2787.52435381,0.29952,2.367,0.856,-5.365,36.168
Spain271,fullRetreat,1857.91147565,0.29952,5.304,0.836,-5.329,36.186
Spain272,fullRetreat,130.141329677,0.29952,5.26,0.883,-5.313,36.23
Spain273,fullRetreat,899.621362217,0.29952,17.741,0.897,-5.255,36.316
Spain274,fullRetreat,126.887858782,0.29952,20.575,0.886,-5.131,36.428
Spain275,fullProtect,0.60752,0.29952,0.211,0.851,-5.043,36.459
Spain276,fullRetreat,349.851457766,0.319475,37.933,0.773,-4.877,36.501
Spain277,fullRetreat,154.124877236,0.319475,4.812,0.737,-4.688,36.495
Spain278,fullRetreat,751.940703504,0.319475,5.124,0.744,-4.644,36.507
Spain279,fullRetreat,967.816551704,0.319475,41.654,0.694,-4.478,36.633
Spain280,fullRetreat,1767.47291364,0.319475,37.304,0.571,-4.166,36.721
Spain281,fullRetreat,107.568661973,0.319475,28.048,0.531,-3.874,36.751
Spain282,fullRetreat,168.225151434,0.319475,38.614,0.501,-3.581,36.738
Spain283,fullRetreat,229.659997021,0.290025,86.894,0.454,-3.037,36.749
Spain284,fullRetreat,2501.81919161,0.290025,62.49,0.442,-2.448,36.833
Spain285,fullRetreat,79.6507143342,0.290025,71.091,0.489,-1.98,36.9
Spain286,fullRetreat,158.276618167,0.290025,4.96,0.515,-1.814,37.188
Spain287,fullRetreat,41.5474356286,0.290025,2.386,0.526,-1.799,37.218
Sweden2918,,,,,,,
Sweden2919,,,,,,,
Sweden2917,,,,,,,
Sweden2916,,,,,,,
Sweden9092,,,,,,,
Sweden2848,noAdaptation,34.994012467,-0.0225525,43.511,0.625,11.285,59.096
Sweden2849,noAdaptation,613.486429627,0.0210395,104.692,0.855,11.245,58.658
Sweden2850,fullRetreat,287.621485476,0.02409,136.531,0.698,11.867,58.221
Sweden2851,fullRetreat,1361.84183399,0.061885,1.967,1.219,11.71,57.741
