,optA,value,slr,L,s1,lon,lat
UnitedStates11694,fullRetreat,1759.70541734,0.468,55.474,0.748,145.772,15.258
UnitedStates11688,fullRetreat,14221.0735215,0.489545,124.54,1.407,144.874,13.652
Australia10434,fullRetreat,350.844754328,0.512905,45.049,1.302,105.704,-10.39
Bangladesh1886,fullRetreat,448.544176366,0.348895,6.114,2.298,92.256,21.027
Cambodia2101,fullRetreat,487.44951443,0.38082,35.15,1.792,102.959,11.654
Cambodia2102,fullRetreat,31.284869757,0.38082,8.698,1.73,102.896,11.825
Cambodia2103,fullRetreat,23.6915371198,0.38082,14.37,1.738,102.961,11.75
Cambodia2104,fullRetreat,3.68608143631,0.38082,11.131,1.77,103.044,11.723
Cambodia2105,fullRetreat,387.24760894,0.38082,37.341,1.752,102.976,11.628
Cambodia2106,fullRetreat,4.51749530041,0.38082,0.166,1.766,103.028,11.542
Cambodia2107,fullRetreat,837.572263209,0.38082,23.172,1.843,103.074,11.448
Cambodia2108,fullRetreat,91.3901137456,0.38082,27.617,1.651,103.094,11.223
Cambodia2109,fullRetreat,414.774092023,0.38082,147.545,1.567,103.444,11.061
Cambodia2110,fullRetreat,555.392396431,0.54831,15.226,1.246,103.616,10.734
Cambodia2111,fullRetreat,6831.42976077,0.54831,16.068,1.219,103.52,10.645
Cambodia2112,fullRetreat,3687.56274126,0.54831,78.102,1.2,103.83,10.547
Cambodia2113,fullRetreat,2500.40259884,0.54831,4.64,1.662,104.188,10.563
Cambodia2114,fullRetreat,4988.01714316,0.54831,28.722,1.336,104.319,10.513
Cambodia2115,fullRetreat,1275.95034478,0.54831,2.916,1.318,104.435,10.43
EastTimor11345,fullRetreat,1194.90058527,0.46464,50.613,1.445,124.243,-9.239
EastTimor11349,fullRetreat,593.617025713,0.479695,5.139,1.573,124.97,-8.935
EastTimor11356,fullRetreat,436.616044188,0.479695,15.04,1.696,125.197,-9.429
EastTimor11350,fullRetreat,5628.00808151,0.479695,100.651,1.689,125.262,-8.603
EastTimor11351,fullRetreat,3574.21597141,0.479695,38.971,1.754,125.874,-8.481
