,optA,value,slr,L,s1,lon,lat
Algeria871,fullRetreat,5725.96091843,0.3297,34.079,0.746,7.419,37.052
Algeria873,fullRetreat,2608.93953171,0.3297,23.632,0.746,7.2,37.06
Algeria874,fullRetreat,12689.8657291,0.3297,70.621,0.71,6.959,36.885
Algeria875,noAdaptation,7233.02354618,0.3297,63.995,0.68,6.417,37.087
Algeria876,fullRetreat,16814.0279805,0.3297,96.752,0.699,5.813,36.814
Algeria870,fullProtect,1.3697,0.3297,5.306,1.244,7.794,36.869
Algeria872,fullRetreat,15010.9596995,0.3297,32.582,0.728,7.703,36.969
Algeria867,fullRetreat,3064.97271586,0.3297,26.059,0.777,8.507,36.921
Algeria868,fullProtect,0.7847,0.3297,1.926,0.765,7.825,36.858
Algeria869,fullProtect,0.6467,0.3297,64.743,0.788,8.114,36.902
Algeria879,fullRetreat,14490.4776772,0.33002,67.681,0.678,4.3,36.904
Algeria880,fullRetreat,10566.4961469,0.33002,54.706,0.688,3.761,36.892
Algeria881,fullRetreat,294836.422449,0.33002,17.936,0.751,3.253,36.78
Algeria882,fullRetreat,11064.6215361,0.33002,23.773,0.716,3.44,36.769
Algeria883,fullRetreat,109098.627539,0.33002,10.955,0.857,3.136,36.739
Algeria878,fullRetreat,10211.7713255,0.33002,99.166,0.677,5.09,36.776
Algeria877,noAdaptation,3290.62468095,0.33002,7.044,0.676,4.635,36.886
Algeria884,noAdaptation,439.197030459,0.33002,8.998,0.687,3.003,36.808
Algeria885,fullRetreat,39930.5651607,0.33002,7.66,0.692,3.068,36.777
Algeria886,fullRetreat,800.227957486,0.33002,25.989,0.698,2.865,36.755
Algeria887,fullRetreat,3519.75532362,0.33002,44.144,0.725,2.599,36.595
Algeria888,fullRetreat,8951.0667838,0.33002,78.807,0.66,2.073,36.572
Algeria889,fullRetreat,5579.129427,0.2812,115.889,0.659,1.204,36.514
Algeria890,fullRetreat,8699.25664125,0.2812,64.163,0.646,0.462,36.232
Algeria891,noAdaptation,7224.48947838,0.2812,48.89,0.713,0.078,35.932
Algeria892,noAdaptation,4632.20802627,0.2812,3.649,0.776,-0.099,35.787
Algeria893,noAdaptation,3228.49065559,0.2812,0.727,0.809,-0.118,35.784
Algeria894,fullRetreat,7529.17102312,0.290025,50.349,0.68,-0.31,35.872
Algeria895,fullRetreat,7195.35628894,0.290025,32.864,0.709,-0.604,35.727
Algeria896,fullRetreat,7763.4107328,0.290025,34.989,0.593,-0.885,35.72
Algeria898,fullRetreat,418.713892893,0.290025,1.86,0.581,-1.042,35.672
Algeria897,fullRetreat,993.825376778,0.290025,20.902,0.611,-1.123,35.609
Algeria899,fullRetreat,589.120337288,0.290025,31.702,0.764,-1.254,35.421
Algeria900,fullRetreat,65.6296923129,0.290025,1.083,0.811,-1.356,35.32
Algeria901,fullRetreat,1783.19780709,0.290025,53.049,0.787,-1.581,35.246
Algeria902,fullRetreat,1974.80054715,0.290025,48.807,0.812,-1.995,35.073
Bahamas7761,fullRetreat,4.42863823648,0.404215,12.886,1.383,-75.747,22.269
Bahamas7804,noAdaptation,1079.96199893,0.4502,211.695,0.826,-73.039,21.33
China2418,fullRetreat,1940.39950526,0.32774,3.74,1.189,119.866,39.991
China2409,fullRetreat,144401.802517,0.43408,204.876,1.627,118.713,38.143
China2411,fullProtect,0.56308,0.43408,51.341,2.692,117.654,38.414
China2412,fullProtect,0.56058,0.43408,92.273,2.694,117.706,38.995
China2413,fullProtect,0.65758,0.43408,0.946,2.963,117.545,38.621
China2414,fullProtect,0.53958,0.43408,59.524,2.228,118.235,39.106
China2415,fullProtect,0.55358,0.43408,21.842,2.034,118.535,39.155
China2416,fullRetreat,23795.9474448,0.32774,151.655,1.523,119.074,39.262
China2417,fullRetreat,15056.4039021,0.32774,52.072,1.408,119.626,39.919
China2446,fullProtect,0.58023,0.39923,1.986,3.015,124.367,40.091
China2419,fullRetreat,1364.71372988,0.32774,4.814,1.179,119.898,40.011
China2420,fullRetreat,2523.3062364,0.32774,27.95,1.236,120.033,40.069
China2421,fullProtect,0.42574,0.32774,42.901,1.535,120.337,40.164
China2422,fullRetreat,9956.25377811,0.32774,108.351,2.825,120.789,40.623
China2423,fullProtect,0.83574,0.32774,3.732,2.993,121.017,40.831
China2424,fullProtect,0.71774,0.32774,0.952,2.914,121.037,40.834
China2425,fullProtect,0.41024,0.32774,57.818,2.933,121.27,40.927
China2426,fullProtect,0.49923,0.39923,73.402,3.448,121.826,40.816
China2427,fullProtect,0.77523,0.39923,3.01,3.637,122.135,40.676
China2428,fullProtect,0.71323,0.39923,28.797,3.74,122.238,40.577
China2429,fullProtect,0.72723,0.39923,1.922,3.761,122.282,40.465
China2430,fullRetreat,9057.08608578,0.39923,83.609,3.418,122.036,40.17
China2444,fullProtect,0.77273,0.39923,4.178,4.505,124.346,39.984
China2445,fullProtect,1.16423,0.39923,9.727,3.471,124.363,40.042
China2431,fullRetreat,17317.0902107,0.39923,143.139,2.054,121.454,39.624
China2432,fullProtect,0.82223,0.39923,74.669,2.333,121.673,39.283
China2433,fullRetreat,16693.2045716,0.39923,39.595,2.186,121.455,39.018
China2434,fullRetreat,12411.3884924,0.39923,74.919,1.934,121.115,38.794
