,optA,value,slr,L,s1,lon,lat
Bermuda7942,fullRetreat,56059.8335125,0.42237,43.486,0.996,-64.677,32.379
Canada7717,fullRetreat,270.509006214,0.447755,61.275,4.578,-66.763,44.799
Japan11177,fullRetreat,968.493922806,0.698145,58.908,1.499,128.663,27.424
Japan11178,fullRetreat,341.192756505,0.698145,1.007,1.518,128.616,27.412
Japan11184,fullRetreat,1435.32515425,0.698145,65.893,1.556,128.948,27.906
Japan11279,fullRetreat,1749.49058825,0.698145,23.611,1.365,131.249,25.869
Japan11281,fullRetreat,218.504893377,0.698145,16.044,1.368,131.303,25.953
Japan10880,fullRetreat,191.318625937,0.4948,1.034,1.584,126.749,26.343
Japan10881,fullRetreat,191.318625937,0.4948,5.287,1.711,126.83,26.343
Japan10882,fullRetreat,1084.03490493,0.4948,45.003,1.583,126.741,26.382
Japan10883,fullRetreat,190.692173331,0.4948,0.898,1.721,126.832,26.344
Japan10884,fullRetreat,198.522830909,0.4948,1.266,1.772,126.834,26.352
Japan10885,fullRetreat,195.862410066,0.4948,3.932,1.754,126.839,26.347
Japan10886,fullRetreat,464.586387826,0.4948,17.0,1.74,126.9,26.356
Japan11109,fullRetreat,464.586387826,0.4948,13.44,1.603,127.278,26.212
Japan11115,fullRetreat,464.586387826,0.4948,23.864,1.596,127.312,26.249
Japan11116,fullRetreat,1330.53735646,0.4948,27.998,1.818,127.365,26.224
Japan11117,fullRetreat,203.060932647,0.4948,8.344,1.911,127.454,26.224
Japan11161,fullRetreat,11032.6967024,0.429885,293.68,1.669,128.183,26.775
Japan11163,fullRetreat,2152.72130779,0.429885,30.842,1.521,127.998,27.083
Japan11175,fullRetreat,332.642946044,0.429885,23.745,1.563,128.415,27.058
Spain8479,fullRetreat,800.232022654,0.34222,4.805,1.484,-16.562,28.392
Spain8480,noAdaptation,1108.76316316,0.34222,18.832,1.494,-16.469,28.439
Spain8481,fullRetreat,393.377006419,0.34222,6.123,1.503,-16.398,28.522
Spain8482,fullRetreat,419.45460168,0.34222,1.78,1.505,-16.367,28.539
Spain8483,fullRetreat,647.865492277,0.34222,49.048,1.514,-16.157,28.559
Spain8484,fullRetreat,291.960711683,0.34222,6.461,1.515,-16.314,28.394
Spain8485,fullRetreat,55.765512616,0.34222,56.763,1.488,-16.424,28.138
Spain8486,fullRetreat,169.282337547,0.34222,5.605,1.448,-16.649,27.996
Spain8534,fullRetreat,48.2968737682,0.42468,66.351,1.501,-15.811,27.892
Spain8535,fullRetreat,248.13552249,0.42468,26.091,1.558,-15.617,28.155
Spain8536,fullRetreat,1738.20865229,0.42468,28.135,1.575,-15.399,28.121
Spain8537,fullRetreat,310.654206875,0.42468,25.381,1.55,-15.387,27.888
Spain8538,fullRetreat,87.6708722339,0.42468,17.315,1.51,-15.514,27.771
UnitedStates4079,fullRetreat,892.205387158,0.447755,175.192,3.391,-67.011,44.793
UnitedStates4089,fullProtect,0.562075,0.394575,0.623,2.495,-70.737,43.081
UnitedStates4090,fullProtect,0.514075,0.394575,3.818,2.599,-70.723,43.069
UnitedStates4091,fullRetreat,225.814898121,0.394575,1.573,2.561,-70.706,43.055
UnitedStates4092,fullRetreat,135.547507811,0.394575,0.867,2.722,-70.71,43.045
UnitedStates4093,fullRetreat,410.901869086,0.394575,14.861,2.636,-70.749,42.987
UnitedStates4094,fullRetreat,975.062052852,0.394575,6.952,2.593,-70.805,42.907
UnitedStates4095,fullRetreat,253.951190262,0.394575,0.287,2.002,-70.813,42.876
UnitedStates4171,fullRetreat,1250.60562698,0.517975,9.616,2.372,-73.602,41.012
UnitedStates4172,fullRetreat,442.193550624,0.517975,1.44,1.444,-73.876,41.172
UnitedStates4173,fullRetreat,744.535947615,0.517975,4.615,1.485,-73.872,41.146
UnitedStates4174,fullRetreat,499.024690446,0.517975,9.322,1.516,-73.866,41.083
UnitedStates4175,fullRetreat,798.339549074,0.517975,2.86,1.552,-73.873,41.029
UnitedStates4176,fullRetreat,562.826431248,0.517975,1.856,1.735,-73.877,41.008
UnitedStates4177,fullRetreat,24098.1190351,0.522495,66.412,2.361,-73.849,40.819
UnitedStates4178,fullRetreat,301.118146115,0.517975,3.81,1.434,-73.887,41.194
UnitedStates4179,fullRetreat,297.07871671,0.517975,4.739,1.371,-73.906,41.227
UnitedStates4180,fullProtect,0.797975,0.517975,8.764,1.178,-73.937,41.279
UnitedStates4181,fullRetreat,425.508645896,0.517975,6.651,1.382,-73.979,41.276
UnitedStates4182,fullRetreat,1621.01643324,0.517975,30.529,1.461,-73.913,41.137
UnitedStates4183,fullRetreat,906.682051967,0.517975,1.162,1.696,-73.905,40.995
UnitedStates4184,fullRetreat,22662.6710397,0.517975,6.808,1.794,-73.904,40.959
