,optA,value,slr,L,s1,lon,lat
Aruba8014,fullRetreat,8956.14905361,0.53974,67.867,0.691,-70.06,12.623
Bangladesh1847,fullRetreat,1050453.43599,0.58896,436.238,3.241,89.489,22.221
Bangladesh1852,fullProtect,0.782035,0.539035,57.895,3.787,90.435,22.797
Bangladesh1857,fullProtect,0.790535,0.539035,7.014,3.78,90.462,23.067
Bangladesh1858,fullProtect,0.746035,0.539035,19.979,3.577,90.598,23.252
Bangladesh1860,fullProtect,0.708535,0.539035,8.975,3.485,90.533,23.073
Bangladesh1861,fullProtect,0.775035,0.539035,129.886,3.661,90.575,23.445
Bangladesh1862,fullProtect,0.789535,0.539035,60.725,3.71,90.595,23.389
Bangladesh1848,fullRetreat,1487.49947201,1.01309,4.789,3.26,89.85,22.229
Bangladesh1849,fullRetreat,5119.46525343,1.01309,10.656,3.22,89.852,22.296
Bangladesh1850,fullRetreat,8164.35902064,1.01309,4.961,3.609,89.887,22.356
Bangladesh1851,fullProtect,1.18909,1.01309,13.949,3.683,89.937,22.425
Bangladesh1856,fullProtect,1.17609,1.01309,17.696,3.646,89.975,22.434
Belize4738,fullRetreat,13722.9183248,0.53915,66.991,0.728,-88.145,18.365
Belize4739,fullRetreat,3066.92109983,0.53915,20.912,0.548,-88.121,18.035
Belize4740,fullRetreat,7389.81153234,0.53915,108.429,0.519,-88.21,17.53
Belize7346,fullRetreat,3698.47219808,0.53915,79.208,0.756,-87.847,18.146
Belize4741,fullRetreat,602.644155756,0.53915,42.049,0.528,-88.214,16.962
Belize4742,fullRetreat,485.489295516,0.53915,54.611,0.589,-88.336,16.563
Belize4743,fullRetreat,385.686529128,0.491395,102.044,0.521,-88.688,16.256
Belize7354,fullRetreat,4330.34808156,0.53915,76.069,0.766,-87.796,17.534
Colombia7767,fullRetreat,40.6228225809,0.39215,5.64,0.49,-81.372,13.396
Colombia7768,fullRetreat,130.102222204,0.39215,24.516,0.481,-81.36,13.384
Colombia7773,fullRetreat,1770.4561806,0.39215,25.298,0.424,-81.691,12.59
Colombia3883,fullRetreat,475.357635597,0.395265,234.206,2.355,-77.352,6.434
CostaRica3844,fullRetreat,27.1049726042,0.469185,20.117,2.064,-85.682,10.997
CostaRica4763,fullRetreat,2511.60241897,0.39215,70.185,0.705,-83.533,10.636
CostaRica3845,fullRetreat,1599.4428803,0.469185,220.194,2.14,-85.857,10.357
CostaRica3847,fullRetreat,2363.69487633,0.469185,94.971,2.25,-84.935,9.753
CostaRica3848,fullRetreat,1004.51593072,0.469185,33.667,2.247,-85.24,10.127
CostaRica3849,fullRetreat,312.869891911,0.469185,11.632,2.572,-85.12,10.171
CostaRica3850,fullRetreat,1938.73510315,0.469185,72.755,2.283,-84.813,9.968
CostaRica3857,fullRetreat,38.5696812902,0.44471,24.809,2.421,-82.915,8.133
CostaRica4764,fullRetreat,1678.26690284,0.39215,53.473,0.694,-83.235,10.17
CostaRica4765,fullRetreat,279.084347217,0.39215,11.967,0.562,-83.025,10.002
CostaRica4766,fullRetreat,1571.15347242,0.39215,68.015,0.75,-82.821,9.711
CostaRica3851,fullRetreat,764.795299169,0.466525,151.304,2.35,-84.176,9.412
CostaRica3852,fullRetreat,1060.50839163,0.466525,33.912,2.387,-83.59,8.889
CostaRica3853,fullRetreat,518.875845001,0.44471,127.031,2.367,-83.414,8.421
CostaRica3854,fullRetreat,42.836127181,0.44471,19.097,2.414,-83.398,8.73
CostaRica3855,fullRetreat,617.422687482,0.44471,46.394,2.442,-83.173,8.587
CostaRica3856,fullRetreat,104.062660064,0.44471,30.34,2.401,-83.083,8.306
Cyprus9269,fullRetreat,751.177407574,0.39945,78.198,0.582,33.303,35.336
Cyprus9274,fullRetreat,2985.1228921,0.321165,198.764,0.587,34.483,35.657
Cyprus9276,fullRetreat,1729.41706045,0.321165,28.414,0.638,33.902,35.163
Cyprus9277,fullRetreat,1190.10160938,0.321165,38.215,0.578,34.062,34.962
Cyprus9275,fullRetreat,2105.80800797,0.321165,85.034,0.595,33.623,34.844
Cyprus9267,fullRetreat,164.880619725,0.39945,19.509,0.563,32.907,35.18
Cyprus9268,noAdaptation,76.0611973449,0.39945,9.86,0.573,32.937,35.308
Cyprus9265,fullRetreat,645.72791517,0.39945,30.429,0.539,32.7,35.184
Cyprus9266,fullRetreat,386.926775209,0.39945,110.829,0.514,32.301,34.969
Cyprus9270,fullRetreat,62.5995956152,0.39945,7.304,0.551,32.673,34.649
Cyprus9273,fullRetreat,2948.5686512,0.321165,46.612,0.604,33.067,34.682
Cyprus9271,fullRetreat,83.9035454695,0.39945,0.957,0.556,32.71,34.641
