,optA,value,slr,L,s1,lon,lat
Maldives9732,fullRetreat,1262.83996198,0.48218,1.46,1.015,73.039,2.778
Maldives9733,fullRetreat,1048.350035,0.48218,1.125,1.016,73.036,2.759
Maldives9734,fullRetreat,1198.31860183,0.48218,1.32,1.154,73.036,2.765
Maldives3230,fullProtect,0.80618,0.48218,0.195,0.972,73.583,2.962
Maldives3231,fullProtect,0.80618,0.48218,0.045,0.972,73.583,2.961
Maldives3232,fullProtect,0.80618,0.48218,0.179,0.972,73.582,2.96
Maldives3233,fullRetreat,1405.83324664,0.48218,0.453,0.972,73.582,2.957
Maldives3234,fullRetreat,1215.75680728,0.48218,0.504,0.972,73.581,2.953
Maldives3235,fullRetreat,1829.58163898,0.48218,2.114,1.712,73.587,2.96
Maldives3236,fullProtect,3.81918,0.48218,0.133,0.978,73.585,2.965
Maldives3237,fullProtect,0.81918,0.48218,0.232,0.978,73.584,2.963
Maldives9768,fullRetreat,1426.75909318,0.48218,6.393,0.985,73.409,2.794
Maldives9770,fullRetreat,1433.73437535,0.48218,1.53,0.988,73.403,2.772
Maldives9772,fullRetreat,1334.33660431,0.48218,2.097,1.03,73.428,2.826
Maldives9773,fullRetreat,1083.22644589,0.48218,1.943,1.03,73.436,2.833
Maldives9774,fullRetreat,1285.50962906,0.48218,1.351,1.008,73.442,2.836
Maldives9780,fullRetreat,1287.25344961,0.48218,4.593,1.213,73.565,2.929
Maldives9781,fullRetreat,2127.7749521,0.48218,4.008,1.986,73.565,2.954
Maldives9782,fullProtect,0.83918,0.48218,1.14,1.949,73.563,2.91
Maldives9783,fullProtect,0.82868,0.48218,0.908,1.916,73.569,2.93
Maldives9784,fullRetreat,2030.12100161,0.48218,2.324,1.897,73.56,2.903
Maldives9735,fullRetreat,1027.42418846,0.48218,1.271,1.0,72.919,2.371
Maldives9740,fullRetreat,1029.16800901,0.48218,4.612,1.002,72.925,2.331
Maldives9741,fullRetreat,1400.60178501,0.48218,1.972,1.0,72.954,2.321
Maldives9742,fullRetreat,1400.60178501,0.48218,2.248,1.0,72.953,2.299
Maldives9744,fullRetreat,1402.34560555,0.48218,3.76,1.0,72.939,2.279
Maldives9746,fullRetreat,1219.24444837,0.48218,1.395,1.002,72.976,2.2
Maldives9747,fullRetreat,1411.06470827,0.48218,0.765,1.002,72.98,2.195
Maldives9748,fullRetreat,1212.26916619,0.48218,1.537,1.0,72.984,2.193
Maldives9750,fullRetreat,1400.60178501,0.48218,2.097,0.999,73.018,2.176
Maldives9752,fullRetreat,1419.783811,0.48218,1.443,1.003,73.024,2.176
Maldives9753,fullRetreat,0,0.48218,3.422,1.003,73.032,2.174
Maldives9754,fullRetreat,1212.26916619,0.48218,2.238,0.998,73.043,2.174
Maldives9755,fullRetreat,1400.60178501,0.48218,2.167,0.998,73.059,2.173
Maldives9756,fullRetreat,0,0.48218,0.902,0.997,73.068,2.17
Maldives9757,noAdaptation,2579.42447315,0.48218,3.25,0.997,73.074,2.175
Maldives9758,noAdaptation,2582.91211424,0.48218,3.166,0.999,73.088,2.181
Maldives9760,fullRetreat,6598.93082844,0.48218,3.438,1.932,73.099,2.192
Maldives9762,noAdaptation,2602.09414023,0.48218,4.716,1.01,73.114,2.204
Maldives9765,fullRetreat,1311.66693723,0.48218,2.16,1.038,73.133,2.205
Maldives9766,fullRetreat,1477.32988897,0.48218,2.161,1.014,73.15,2.212
Maldives9767,fullRetreat,2602.25108408,0.48218,2.159,0.996,73.308,2.505
Maldives9769,noAdaptation,2572.44919097,0.48218,1.397,0.993,73.313,2.496
Maldives9771,fullRetreat,1902.82210185,0.48218,1.082,1.121,73.316,2.49
Maldives9776,fullRetreat,1695.30745704,0.48218,1.397,1.064,73.344,2.35
Maldives9777,fullRetreat,12279.0949266,0.48218,12.956,1.016,73.353,2.438
Maldives9778,fullRetreat,1955.13671819,0.48218,2.5,1.134,73.356,2.362
Maldives9779,noAdaptation,2809.60878504,0.48218,2.871,1.129,73.364,2.368
Maldives9785,noAdaptation,2575.93683206,0.48218,3.584,0.995,73.258,1.88
Maldives9786,fullRetreat,0,0.48218,0.903,0.995,73.271,1.848
Maldives9787,fullRetreat,0,0.48218,1.321,0.994,73.274,1.843
Maldives9789,fullRetreat,1412.80852882,0.48218,0.948,0.995,73.273,1.838
Maldives9790,fullRetreat,1412.80852882,0.48218,1.076,0.995,73.275,1.836
Maldives9791,fullRetreat,1412.80852882,0.48218,1.204,0.994,73.289,1.826
Maldives9792,fullRetreat,1416.29616991,0.48218,1.398,0.995,73.288,1.821
Maldives9793,noAdaptation,2579.42447315,0.48218,1.075,0.997,73.29,1.815
Maldives9794,fullRetreat,1423.27145209,0.48218,1.08,0.997,73.293,1.821
Maldives9795,fullRetreat,1423.27145209,0.48218,1.292,0.997,73.294,1.812
Maldives9796,fullRetreat,1433.73437535,0.48218,1.352,1.0,73.296,1.818
Maldives9797,fullRetreat,1224.47591,0.48218,1.084,0.995,73.302,1.803
Maldives9798,fullRetreat,1419.783811,0.48218,0.954,0.995,73.304,1.802
Maldives9799,fullRetreat,1217.50062782,0.48218,4.422,0.993,73.307,1.796
Maldives9800,fullRetreat,0,0.48218,0.901,0.991,73.33,1.784
Maldives9801,fullRetreat,1407.57706719,0.48218,0.903,0.991,73.337,1.781
Maldives9802,fullRetreat,1407.57706719,0.48218,0.811,0.991,73.341,1.778
Maldives9803,fullRetreat,1407.57706719,0.48218,1.268,0.99,73.346,1.784
Maldives9804,fullRetreat,1398.85796446,0.48218,1.98,0.989,73.347,1.781
Maldives9807,fullRetreat,1400.60178501,0.48218,1.597,0.988,73.356,1.781
Maldives9812,fullRetreat,3673.11384231,0.48218,1.99,0.988,73.368,1.779
Maldives9814,noAdaptation,2563.73008825,0.48218,1.584,0.988,73.368,1.773
Maldives9819,noAdaptation,2561.98626771,0.48218,5.141,0.987,73.384,1.774
Maldives9822,noAdaptation,2560.24244716,0.48218,4.534,0.986,73.399,1.782
Maldives9824,fullRetreat,2536.85781366,0.48218,2.782,0.986,73.405,1.812
Maldives9825,fullRetreat,1400.60178501,0.48218,1.475,0.986,73.411,1.814
Maldives9827,fullRetreat,4338.53832392,0.48218,5.553,0.986,73.405,1.791
Maldives9830,fullRetreat,1334.33660431,0.48218,0.999,1.038,73.424,1.819
Maldives9832,fullRetreat,1400.60178501,0.48218,2.427,0.985,73.42,1.81
Maldives9838,fullRetreat,5950.85736125,0.48218,1.713,0.977,73.561,2.108
Maldives9839,fullRetreat,4355.97652937,0.48218,5.357,0.986,73.472,1.815
Maldives9840,fullRetreat,1451.1725808,0.48218,0.817,0.991,73.554,2.063
Maldives9841,fullRetreat,2610.09827653,0.48218,4.964,0.991,73.562,2.092
Maldives9842,fullRetreat,1449.42876026,0.48218,2.232,0.991,73.558,2.067
Maldives9843,fullRetreat,1449.42876026,0.48218,1.08,0.991,73.556,2.053
Maldives9844,fullRetreat,1451.1725808,0.48218,0.631,0.991,73.555,2.056
Maldives9845,fullRetreat,1243.65793599,0.48218,2.525,0.991,73.558,2.074
Maldives9846,fullRetreat,1243.65793599,0.48218,1.258,0.991,73.55,2.041
Maldives9847,fullRetreat,1683.10071323,0.48218,2.537,1.583,73.553,2.05
Maldives9849,fullRetreat,1224.47591,0.48218,0.947,0.982,73.557,2.06
Maldives9850,fullRetreat,1418.03999045,0.48218,1.476,0.983,73.55,2.037
Maldives9851,fullRetreat,1683.10071323,0.48218,0.947,1.583,73.555,2.05
Maldives9853,fullRetreat,3997.4644636,0.48218,11.492,1.019,73.597,2.121
Maldives9854,fullRetreat,1707.51420086,0.48218,5.517,1.607,73.556,2.024
Maldives9857,fullRetreat,1751.10971447,0.48218,3.436,1.648,73.553,2.008
Maldives9858,fullRetreat,2870.6425041,0.48218,1.78,1.696,73.554,1.991
Maldives9859,fullRetreat,1482.5613506,0.48218,1.083,1.0,73.555,1.983
Maldives9860,fullRetreat,1433.73437535,0.48218,2.42,0.988,73.558,1.979
Maldives9862,fullRetreat,1233.19501273,0.48218,1.726,0.988,73.555,1.971
Maldives9863,fullRetreat,3701.01497102,0.48218,9.767,0.985,73.526,1.835
Maldives9866,fullRetreat,1400.60178501,0.48218,1.58,0.978,73.561,1.948
Maldives9868,fullRetreat,1050.09385554,0.48218,4.162,1.001,73.557,1.963
Maldives9869,fullRetreat,1212.26916619,0.48218,1.263,0.979,73.558,1.943
Maldives9870,fullRetreat,1400.60178501,0.48218,1.59,0.978,73.56,1.938
Maldives9873,fullRetreat,1400.60178501,0.48218,1.037,0.98,73.531,1.841
Maldives9874,fullRetreat,8420.42114009,0.48218,16.909,0.992,73.563,1.932
Maldives9875,noAdaptation,2588.14357588,0.48218,5.929,1.002,73.539,1.857
Maldives9876,noAdaptation,2598.60649914,0.48218,4.119,1.008,73.544,1.868
Maldives9889,fullRetreat,1413.41886601,0.49053,1.069,0.998,73.355,0.857
Maldives9890,fullRetreat,1915.63918285,0.49053,2.978,1.808,73.359,0.851
Maldives9891,fullRetreat,1450.03909745,0.49053,1.792,1.378,73.377,0.77
Maldives9892,fullRetreat,1322.74019769,0.49053,6.003,1.26,73.384,0.765
