,optA,value,slr,L,s1,lon,lat
Canada3389,noAdaptation,6921.17908004,0.42456,1923.027,1.147,-131.145,69.851
Canada3400,noAdaptation,40.618496583,0.42456,2235.299,0.6,-125.396,69.624
Canada5057,noAdaptation,0,0.42456,67.134,0.783,-128.097,70.62
Canada5095,noAdaptation,134.544802458,0.42456,861.301,0.523,-125.857,71.966
Canada5094,noAdaptation,0,0.42456,63.051,0.972,-124.191,73.609
Canada5096,noAdaptation,0,0.42456,2126.503,0.789,-115.685,73.67
Canada5097,noAdaptation,0,0.42456,175.721,0.728,-124.684,74.348
Canada5098,noAdaptation,0,0.42456,2.184,1.997,-124.257,73.91
Canada5099,noAdaptation,0,0.42456,52.43,1.164,-124.031,73.839
Canada5137,noAdaptation,0,0.42456,97.855,0.814,-115.249,71.5
Canada5138,noAdaptation,0,0.42456,925.393,1.242,-117.859,71.64
Canada5139,noAdaptation,0,0.42456,247.626,0.915,-115.732,71.378
Canada5140,noAdaptation,0,0.42456,129.048,1.125,-117.406,71.19
Canada5141,noAdaptation,0,0.42456,52.525,1.089,-118.209,71.065
Canada5142,fullRetreat,17.6415325255,0.42456,184.02,1.041,-117.726,70.644
Canada5143,,,,,,,
Canada5144,noAdaptation,0,0.42456,184.876,1.338,-117.349,72.917
Canada5145,noAdaptation,0,0.42456,184.754,0.963,-115.712,73.18
Canada5184,noAdaptation,0,0.42456,95.59,1.044,-117.005,70.569
Canada5191,noAdaptation,0,0.42456,43.53,1.186,-116.357,70.548
Canada5192,noAdaptation,0,0.42456,7.96,1.254,-116.131,70.534
Canada5193,noAdaptation,0,0.42456,31.181,1.198,-116.306,70.515
Canada5146,noAdaptation,0,0.42456,7.303,0.844,-114.862,73.325
Canada5147,,,,,,,
Canada5148,,,,,,,
Canada5152,,,,,,,
Canada5153,,,,,,,
Canada5154,,,,,,,
Canada5155,,,,,,,
Canada5156,,,,,,,
Canada5157,,,,,,,
Canada5158,,,,,,,
Canada5274,,,,,,,
Canada3388,noAdaptation,4.61546604509,0.42456,29.752,1.769,-136.553,68.903
Canada5046,noAdaptation,0,0.42456,72.476,1.175,-135.528,69.403
Canada5047,noAdaptation,0,0.42456,973.635,1.04,-135.404,69.317
