,optA,value,slr,L,s1,lon,lat
Canada5106,noAdaptation,0,0.42456,86.08,0.412,-122.645,75.918
Canada5115,noAdaptation,0,0.42456,123.51,0.514,-121.031,75.891
Canada5120,noAdaptation,0,0.42456,2860.457,0.319,-116.799,77.534
Canada5132,noAdaptation,0,0.42456,467.988,0.63,-118.191,75.968
Canada5166,noAdaptation,0,0.42456,520.491,0.965,-115.022,74.963
Canada5167,noAdaptation,0,0.42456,1857.209,0.891,-114.982,75.853
Canada5202,noAdaptation,0,0.42456,204.602,0.775,-115.077,77.939
Canada5168,,,,,,,
Canada5169,,,,,,,
Canada5171,,,,,,,
Canada5172,,,,,,,
Canada5173,,,,,,,
Canada5175,,,,,,,
Canada5177,,,,,,,
Canada5178,,,,,,,
Canada5179,,,,,,,
Canada5180,,,,,,,
Canada5181,,,,,,,
Canada5203,,,,,,,
Canada5204,,,,,,,
Canada5218,,,,,,,
Canada5221,,,,,,,
Canada5265,,,,,,,
Canada5266,,,,,,,
Canada5267,,,,,,,
Canada5268,,,,,,,
Canada5269,,,,,,,
Canada5270,,,,,,,
Canada5170,,,,,,,
Canada5353,,,,,,,
Canada5174,,,,,,,
Canada5176,,,,,,,
Canada5527,,,,,,,
Canada5691,,,,,,,
Canada7437,noAdaptation,0,0.07695,164.691,6.279,-67.92,60.537
Denmark7037,noAdaptation,1.51250515698,0.07695,606.342,1.845,-64.921,80.062
Denmark7038,,,,,,,
Denmark7039,,,,,,,
Denmark7040,,,,,,,
Denmark7041,,,,,,,
Denmark7042,,,,,,,
Denmark7348,,,,,,,
Denmark7349,,,,,,,
Denmark7350,,,,,,,
Denmark7043,noAdaptation,0.0571757762125,-0.16562,38.78,1.79,-64.784,80.905
Denmark7044,,,,,,,
Denmark7045,noAdaptation,4.59299538233,0.07638,547.438,1.709,-63.019,80.88
Denmark7046,noAdaptation,0,0.07638,47.203,1.618,-61.247,81.121
Denmark7047,noAdaptation,8.14795922903,0.07638,809.097,1.189,-59.765,81.913
Denmark7053,noAdaptation,3.67368388777,0.07638,1180.449,1.072,-57.408,82.17
Denmark7054,noAdaptation,0,0.07638,3.687,0.597,-53.537,82.057
Denmark7055,noAdaptation,1.67284287527,0.07638,877.203,0.678,-51.164,81.857
Denmark7056,noAdaptation,0,0.07638,18.553,0.684,-50.208,81.904
Denmark7057,noAdaptation,0.0269050467387,0.07638,41.047,0.688,-49.942,81.88
Denmark7106,fullRetreat,0.00268846315955,0.07638,191.806,0.688,-50.053,82.029
Denmark7107,noAdaptation,0,0.07638,7.515,0.622,-50.838,82.357
Denmark7108,fullRetreat,0.400621453876,0.0043015,360.968,0.631,-49.782,82.513
Denmark7961,fullRetreat,0.0215077052764,0.07638,114.621,0.607,-52.099,82.291
Denmark7964,fullRetreat,0.276911705434,0.07638,503.853,0.592,-52.953,82.326
Denmark7058,noAdaptation,0,0.07638,6.806,0.696,-49.727,81.878
Denmark7105,noAdaptation,0,0.07638,3.359,0.718,-49.682,81.882
Denmark7117,fullRetreat,0.0816080739377,0.0043015,386.088,0.731,-46.472,82.105
Denmark7118,fullRetreat,0,0.0043015,9.271,0.883,-44.958,81.773
Denmark7125,noAdaptation,0.0350789532626,0.0043015,469.386,0.744,-44.041,82.446
Denmark7126,fullRetreat,0,0.0043015,4.633,0.683,-45.396,82.781
Denmark7127,fullRetreat,0.00367125870956,0.0043015,115.848,0.692,-44.854,82.772
Denmark7135,fullRetreat,0.14837831625,0.0043015,2707.703,0.706,-43.468,82.912
Denmark8017,fullRetreat,0.00257390956761,0.0043015,169.132,0.643,-48.793,82.557
Denmark8018,fullRetreat,0,0.0043015,1.547,0.659,-48.036,82.466
Denmark8019,fullRetreat,0.000151406445153,0.0043015,21.137,0.661,-48.119,82.407
Denmark8022,fullRetreat,0.00514781913521,0.0043015,222.729,0.664,-48.089,82.886
