,optA,value,slr,L,s1,lon,lat
Albania504,fullRetreat,749.499374605,0.226415,48.345,0.32,19.976,39.883
Estonia2949,fullRetreat,1983.26824155,0.17868,136.654,1.106,27.427,59.448
Estonia2950,,,,,,,
Estonia9200,fullRetreat,311.022720708,0.065655,474.344,1.088,22.756,58.602
Estonia9203,noAdaptation,1128.29700096,-0.1908905,284.529,1.054,22.612,59.062
Estonia9210,noAdaptation,308.827110818,-0.075723,69.493,1.17,23.319,59.038
Estonia9211,noAdaptation,701.97129207,-0.1908905,87.252,1.189,23.239,58.673
Georgia664,fullRetreat,41.0372761453,0.321345,60.493,1.081,40.249,43.281
Greece542,fullRetreat,233.070648159,0.275825,29.875,0.192,25.998,40.834
Greece538,noAdaptation,17.407908627,-0.28106,4.297,0.522,24.782,40.852
Greece539,,,,,,,
Greece540,fullRetreat,909.022529844,0.275825,45.315,0.303,25.224,40.939
Greece541,fullRetreat,24.8305592329,0.275825,50.218,0.213,25.64,40.859
Greece9240,fullRetreat,565.638470166,0.275825,65.135,0.171,25.547,40.511
Greece528,fullRetreat,198.259478611,0.42014,42.869,0.471,22.551,40.156
Greece529,fullRetreat,359.111581903,0.42014,31.135,0.52,22.586,40.463
Greece530,fullRetreat,724.447895254,0.42014,32.182,0.64,22.838,40.583
Greece531,fullRetreat,249.826204529,0.42014,4.213,0.524,22.952,40.609
Greece532,fullRetreat,263.236034332,0.42014,50.43,0.548,22.856,40.458
Greece533,,,,,,,
Greece534,noAdaptation,39.0986213435,-0.28106,12.769,0.411,23.707,40.664
Greece535,noAdaptation,43.3122194384,-0.28106,6.335,0.425,23.714,40.735
Greece536,noAdaptation,490.203353134,-0.28106,74.01,0.394,24.051,40.719
Greece537,noAdaptation,95.020275213,-0.28106,57.231,0.375,24.553,40.952
Greece9232,,,,,,,
Greece527,fullRetreat,591.864002543,0.42014,22.736,0.516,22.715,39.944
Greece505,fullRetreat,306.273362435,0.226415,112.014,0.36,20.269,39.361
Greece506,fullRetreat,1609.5495969,0.226415,86.234,0.414,20.767,39.056
Greece507,fullRetreat,21.9077030962,0.226415,2.206,0.508,21.093,39.054
