,optA,value,slr,L,s1,lon,lat
FrenchPolynesia6410,fullRetreat,39.5057146059,0.472505,1.207,0.861,-144.422,-16.341
FrenchPolynesia6411,fullRetreat,39.5057146059,0.472505,1.2,0.861,-144.419,-16.339
FrenchPolynesia6412,fullRetreat,39.5057146059,0.472505,1.269,0.859,-144.438,-16.353
FrenchPolynesia6413,fullRetreat,46.6760934853,0.472505,1.516,0.859,-144.455,-16.37
FrenchPolynesia6421,fullRetreat,0,0.472505,2.559,0.858,-144.463,-16.38
FrenchPolynesia6423,fullRetreat,0,0.472505,1.139,0.858,-144.462,-16.391
FrenchPolynesia6425,fullRetreat,0,0.472505,0.954,0.857,-144.459,-16.396
FrenchPolynesia6427,fullRetreat,297.059919361,0.472505,16.698,0.887,-144.412,-16.338
FrenchPolynesia6428,fullRetreat,46.8809614533,0.472505,1.347,0.86,-144.457,-16.398
FrenchPolynesia6430,fullRetreat,88.213244717,0.472505,0.998,0.866,-144.455,-16.403
FrenchPolynesia6432,fullRetreat,211.800358572,0.472505,7.907,1.109,-144.347,-16.368
FrenchPolynesia6434,fullRetreat,109.314645419,0.472505,0.974,0.926,-144.317,-16.389
FrenchPolynesia6436,fullRetreat,53.0952898154,0.472505,1.612,0.949,-144.313,-16.392
FrenchPolynesia6438,fullRetreat,42.4421554803,0.472505,1.394,0.946,-144.428,-16.435
FrenchPolynesia6440,fullRetreat,42.4421554803,0.472505,0.764,0.949,-144.307,-16.396
FrenchPolynesia6441,fullRetreat,42.4421554803,0.472505,0.634,0.949,-144.305,-16.399
FrenchPolynesia6444,fullRetreat,47.9735906158,0.472505,0.64,0.877,-144.303,-16.403
FrenchPolynesia6445,fullRetreat,40.0520291872,0.472505,0.625,0.877,-144.3,-16.403
FrenchPolynesia6446,fullRetreat,39.6422932512,0.472505,1.349,0.863,-144.417,-16.445
FrenchPolynesia6447,fullRetreat,47.0858294212,0.472505,0.636,0.865,-144.298,-16.405
FrenchPolynesia6448,fullRetreat,47.0858294212,0.472505,2.129,0.865,-144.294,-16.408
FrenchPolynesia6449,fullRetreat,39.6422932512,0.472505,3.53,0.86,-144.414,-16.45
FrenchPolynesia6450,fullRetreat,102.65643646,0.472505,1.212,1.383,-144.289,-16.417
FrenchPolynesia6451,fullRetreat,0,0.472505,1.006,0.877,-144.401,-16.458
FrenchPolynesia6452,fullRetreat,0,0.472505,1.188,0.863,-144.398,-16.464
FrenchPolynesia6455,fullRetreat,0,0.472505,1.332,0.862,-144.368,-16.484
FrenchPolynesia6457,fullRetreat,0,0.472505,1.336,0.863,-144.34,-16.5
FrenchPolynesia6459,fullRetreat,628.861860902,0.472505,17.486,0.965,-144.285,-16.422
FrenchPolynesia6460,fullRetreat,0,0.472505,0.939,0.87,-144.302,-16.505
FrenchPolynesia6461,fullRetreat,58.2852783376,0.472505,0.979,0.897,-144.253,-16.489
FrenchPolynesia6462,fullRetreat,0,0.472505,1.275,0.931,-142.148,-15.745
FrenchPolynesia6463,fullRetreat,0,0.472505,0.882,0.931,-142.154,-15.747
FrenchPolynesia6464,fullRetreat,0,0.472505,1.165,0.931,-142.143,-15.742
FrenchPolynesia6465,fullRetreat,0,0.472505,0.565,0.932,-142.131,-15.739
FrenchPolynesia6466,fullRetreat,0,0.472505,1.156,0.931,-142.137,-15.74
FrenchPolynesia6467,fullRetreat,0,0.472505,2.18,0.925,-142.159,-15.749
FrenchPolynesia6468,fullRetreat,0,0.472505,0.898,0.926,-142.17,-15.76
FrenchPolynesia6469,fullRetreat,0,0.472505,0.818,0.926,-142.173,-15.767
FrenchPolynesia6470,fullRetreat,0,0.472505,3.624,0.93,-142.127,-15.74
FrenchPolynesia6471,fullRetreat,142.520499286,0.472505,4.191,0.781,-144.974,-16.785
FrenchPolynesia6472,fullRetreat,0,0.472505,1.15,0.929,-142.134,-15.755
FrenchPolynesia6473,fullRetreat,0,0.472505,1.699,0.927,-142.177,-15.772
FrenchPolynesia6474,fullRetreat,0,0.472505,0.768,0.928,-142.141,-15.761
FrenchPolynesia6475,fullRetreat,0,0.472505,0.759,0.927,-142.182,-15.779
FrenchPolynesia6476,fullRetreat,39.7105825739,0.472505,1.214,0.784,-144.979,-16.797
FrenchPolynesia6477,fullRetreat,0,0.472505,0.898,0.939,-142.187,-15.78
FrenchPolynesia6478,fullRetreat,40.1886078325,0.472505,1.521,0.803,-144.951,-16.787
FrenchPolynesia6479,fullRetreat,0,0.472505,0.895,0.94,-142.193,-15.785
FrenchPolynesia6480,fullRetreat,0,0.472505,0.445,0.941,-142.151,-15.77
FrenchPolynesia6481,fullRetreat,0,0.472505,0.945,0.943,-142.145,-15.768
FrenchPolynesia6482,fullRetreat,0,0.472505,0.45,0.953,-142.202,-15.792
FrenchPolynesia6483,fullRetreat,0,0.472505,0.45,0.954,-142.162,-15.776
FrenchPolynesia6484,fullRetreat,32.2670464038,0.472505,1.212,0.814,-144.979,-16.802
FrenchPolynesia6485,fullRetreat,0,0.472505,0.841,0.953,-142.199,-15.79
FrenchPolynesia6486,fullRetreat,0,0.472505,1.07,0.954,-142.158,-15.775
FrenchPolynesia6487,fullRetreat,0,0.472505,0.641,0.954,-142.152,-15.774
FrenchPolynesia6488,fullRetreat,0,0.472505,0.454,0.953,-142.209,-15.796
FrenchPolynesia6489,fullRetreat,40.7349224138,0.472505,1.72,0.819,-144.936,-16.79
FrenchPolynesia6490,fullRetreat,0,0.472505,1.458,0.952,-142.218,-15.802
FrenchPolynesia6491,fullRetreat,0,0.472505,1.077,0.954,-142.162,-15.78
FrenchPolynesia6492,fullRetreat,0,0.472505,0.453,0.982,-142.165,-15.784
FrenchPolynesia6493,fullRetreat,0,0.472505,1.432,0.925,-142.229,-15.808
FrenchPolynesia6494,fullRetreat,39.5057146059,0.472505,1.66,0.782,-144.92,-16.79
FrenchPolynesia6495,fullRetreat,0,0.472505,1.219,0.931,-142.236,-15.813
FrenchPolynesia6496,fullRetreat,0,0.472505,0.584,0.924,-142.17,-15.79
FrenchPolynesia6497,fullRetreat,0,0.472505,0.706,0.923,-142.172,-15.792
FrenchPolynesia6498,fullRetreat,54.0513403326,0.472505,1.965,0.776,-144.981,-16.811
FrenchPolynesia6499,fullRetreat,0,0.472505,0.466,0.925,-142.175,-15.794
FrenchPolynesia6500,fullRetreat,0,0.472505,1.477,0.923,-142.245,-15.821
FrenchPolynesia6501,fullRetreat,47.0858294212,0.472505,1.261,0.78,-144.98,-16.819
FrenchPolynesia6502,fullRetreat,0,0.472505,1.451,0.923,-142.253,-15.825
FrenchPolynesia6503,fullRetreat,0,0.472505,1.09,0.925,-142.174,-15.796
FrenchPolynesia6504,fullRetreat,0,0.472505,1.22,0.965,-142.18,-15.801
FrenchPolynesia6505,fullRetreat,0,0.472505,1.515,0.798,-144.882,-16.791
FrenchPolynesia6506,fullRetreat,0,0.472505,1.067,0.942,-142.187,-15.807
FrenchPolynesia6507,fullRetreat,0,0.472505,0.628,0.94,-142.262,-15.839
FrenchPolynesia6508,fullRetreat,0,0.472505,0.818,0.94,-142.257,-15.836
FrenchPolynesia6509,fullRetreat,0,0.472505,1.004,0.798,-144.982,-16.828
FrenchPolynesia6510,fullRetreat,0,0.472505,1.085,0.976,-142.189,-15.811
FrenchPolynesia6511,fullRetreat,0,0.472505,1.386,0.822,-144.98,-16.831
FrenchPolynesia6512,fullRetreat,0,0.472505,2.025,0.831,-144.805,-16.775
FrenchPolynesia6513,fullRetreat,0,0.472505,1.346,0.776,-144.98,-16.837
FrenchPolynesia6514,fullRetreat,0,0.472505,1.146,0.771,-144.981,-16.843
FrenchPolynesia6515,fullRetreat,0,0.472505,2.916,0.922,-142.268,-15.85
FrenchPolynesia6516,fullRetreat,0,0.472505,0.893,0.932,-142.232,-15.851
FrenchPolynesia6517,fullRetreat,0,0.472505,0.894,0.944,-142.236,-15.855
FrenchPolynesia6519,fullRetreat,404.22310967,0.472505,8.129,0.875,-144.761,-16.778
FrenchPolynesia6520,fullRetreat,58.7633035962,0.472505,0.895,0.958,-142.353,-15.93
FrenchPolynesia6521,fullRetreat,49.749113005,0.472505,0.818,0.958,-142.343,-15.928
FrenchPolynesia6522,fullRetreat,40.8715010591,0.472505,0.832,0.958,-142.346,-15.93
FrenchPolynesia6523,fullRetreat,40.8715010591,0.472505,1.084,0.958,-142.358,-15.933
FrenchPolynesia6524,fullRetreat,49.749113005,0.472505,0.769,0.958,-142.335,-15.928
FrenchPolynesia6525,fullRetreat,49.749113005,0.472505,0.754,0.957,-142.369,-15.941
FrenchPolynesia6526,fullProtect,0.861505,0.472505,1.29,0.957,-142.375,-15.942
FrenchPolynesia6527,fullRetreat,41.1446583498,0.472505,0.895,0.898,-144.226,-16.624
FrenchPolynesia6528,fullRetreat,78.6868842058,0.472505,4.18,0.898,-144.231,-16.626
FrenchPolynesia6529,fullRetreat,50.2271382636,0.472505,0.978,0.899,-144.223,-16.624
FrenchPolynesia6530,fullRetreat,58.8315929189,0.472505,0.838,0.958,-142.331,-15.929
FrenchPolynesia6531,fullRetreat,103.16860638,0.472505,1.338,0.944,-142.381,-15.947
FrenchPolynesia6532,fullProtect,0.820505,0.472505,1.145,0.932,-142.393,-15.955
FrenchPolynesia6533,fullRetreat,87.1889048771,0.472505,1.338,0.915,-142.327,-15.931
FrenchPolynesia6534,fullRetreat,98.0469071802,0.472505,0.957,0.915,-142.32,-15.934
FrenchPolynesia6535,fullRetreat,0,0.472505,1.335,0.771,-144.915,-16.879
FrenchPolynesia6536,fullRetreat,98.6615110841,0.472505,1.425,1.025,-142.317,-15.937
FrenchPolynesia6537,noAdaptation,152.336918696,0.472505,1.255,0.848,-144.244,-16.647
FrenchPolynesia6538,fullRetreat,46.9492507759,0.472505,1.519,0.794,-144.726,-16.819
FrenchPolynesia6539,noAdaptation,159.302429607,0.472505,0.833,0.916,-142.313,-15.944
FrenchPolynesia6540,noAdaptation,92.7030969587,0.472505,0.775,0.885,-143.218,-16.284
FrenchPolynesia6541,noAdaptation,89.9715240522,0.472505,1.476,0.845,-144.231,-16.65
FrenchPolynesia6542,fullRetreat,0,0.472505,1.376,0.779,-144.824,-16.864
FrenchPolynesia6543,fullRetreat,79.0966201418,0.472505,1.396,0.973,-142.312,-15.949
FrenchPolynesia6544,fullRetreat,42.510444803,0.472505,1.522,0.936,-144.241,-16.658
FrenchPolynesia6545,fullRetreat,44.7639924508,0.472505,1.528,0.947,-144.715,-16.827
FrenchPolynesia6546,fullRetreat,0,0.472505,1.341,0.933,-144.239,-16.663
FrenchPolynesia6547,fullRetreat,60.1973793721,0.472505,1.601,0.97,-142.317,-15.955
FrenchPolynesia6548,fullRetreat,0,0.472505,1.265,0.916,-142.446,-16.007
FrenchPolynesia6549,fullRetreat,47.1541187439,0.472505,3.789,0.892,-143.224,-16.289
FrenchPolynesia6550,fullRetreat,0,0.472505,1.33,0.779,-144.879,-16.893
FrenchPolynesia6551,fullRetreat,0,0.472505,1.204,0.915,-142.451,-16.015
FrenchPolynesia6552,fullRetreat,39.9154505419,0.472505,0.758,0.927,-142.318,-15.966
FrenchPolynesia6553,fullRetreat,341.619043844,0.472505,12.523,0.896,-144.216,-16.623
FrenchPolynesia6554,fullRetreat,39.7105825739,0.472505,1.655,0.798,-144.702,-16.835
FrenchPolynesia6555,fullRetreat,39.6422932512,0.472505,0.715,0.919,-142.322,-15.97
FrenchPolynesia6556,fullRetreat,47.0175400986,0.472505,0.626,0.919,-142.323,-15.971
FrenchPolynesia6557,fullRetreat,0,0.472505,1.045,0.788,-144.787,-16.867
FrenchPolynesia6558,fullRetreat,0,0.472505,0.542,0.787,-144.793,-16.869
FrenchPolynesia6559,fullRetreat,0,0.472505,0.368,0.78,-144.79,-16.871
FrenchPolynesia6560,fullRetreat,32.2670464038,0.472505,1.478,0.893,-143.222,-16.304
FrenchPolynesia6562,fullRetreat,0,0.472505,1.182,0.779,-144.853,-16.893
FrenchPolynesia6563,fullRetreat,0,0.472505,1.142,0.774,-144.849,-16.89
FrenchPolynesia6564,fullRetreat,0,0.472505,0.948,0.91,-142.458,-16.023
FrenchPolynesia6565,fullRetreat,39.5057146059,0.472505,0.937,0.914,-142.326,-15.974
FrenchPolynesia6566,fullRetreat,0,0.472505,1.662,0.86,-144.216,-16.668
FrenchPolynesia6567,fullRetreat,0,0.472505,1.772,0.94,-142.463,-16.025
FrenchPolynesia6568,fullRetreat,47.7004333252,0.472505,1.092,1.163,-142.327,-15.98
FrenchPolynesia6569,fullRetreat,76.2284685901,0.472505,0.889,0.884,-143.217,-16.314
FrenchPolynesia6570,fullRetreat,78.0722803019,0.472505,1.511,0.881,-144.191,-16.67
FrenchPolynesia6571,fullRetreat,46.8126721306,0.472505,0.626,0.915,-142.33,-15.989
FrenchPolynesia6572,fullRetreat,0,0.472505,1.323,0.773,-144.841,-16.902
FrenchPolynesia6573,fullRetreat,39.5740039286,0.472505,2.795,0.89,-143.162,-16.295
FrenchPolynesia6574,fullRetreat,39.5740039286,0.472505,1.078,0.916,-142.326,-15.988
FrenchPolynesia6575,fullRetreat,0,0.472505,1.016,0.916,-142.33,-15.992
FrenchPolynesia6576,fullRetreat,0,0.472505,0.589,0.915,-142.332,-15.997
FrenchPolynesia6577,fullRetreat,43.8762312562,0.472505,5.024,0.92,-144.689,-16.842
FrenchPolynesia6578,fullRetreat,39.8471612192,0.472505,1.076,0.897,-143.151,-16.305
FrenchPolynesia6579,fullRetreat,39.5740039286,0.472505,7.238,0.913,-142.47,-16.033
FrenchPolynesia6580,fullRetreat,39.5740039286,0.472505,0.632,0.888,-143.145,-16.31
FrenchPolynesia6581,fullRetreat,87.1889048771,0.472505,1.637,0.907,-142.483,-16.061
FrenchPolynesia6582,fullRetreat,39.4374252832,0.472505,0.767,0.884,-143.206,-16.335
FrenchPolynesia6583,fullRetreat,86.9840369091,0.472505,0.761,0.907,-142.489,-16.07
FrenchPolynesia6584,fullRetreat,39.4374252832,0.472505,1.33,0.886,-143.14,-16.311
FrenchPolynesia6585,fullRetreat,0,0.472505,1.637,0.773,-144.815,-16.913
FrenchPolynesia6586,fullRetreat,0,0.472505,1.283,1.185,-142.337,-16.015
FrenchPolynesia6587,fullRetreat,45.515175,0.472505,1.037,1.091,-142.491,-16.075
FrenchPolynesia6588,fullRetreat,44.8322817734,0.472505,4.769,0.948,-144.665,-16.858
FrenchPolynesia6589,fullRetreat,0,0.472505,1.394,0.795,-144.64,-16.86
FrenchPolynesia6590,fullRetreat,0,0.472505,1.08,0.795,-144.637,-16.862
FrenchPolynesia6591,fullRetreat,39.4374252832,0.472505,1.153,0.883,-143.202,-16.347
FrenchPolynesia6592,fullRetreat,49.4076663917,0.472505,2.65,0.924,-143.134,-16.317
FrenchPolynesia6593,fullRetreat,0,0.472505,1.842,0.849,-144.627,-16.865
FrenchPolynesia6594,fullRetreat,0,0.472505,1.085,0.988,-142.348,-16.034
FrenchPolynesia6595,fullRetreat,39.9837398645,0.472505,1.26,0.794,-144.745,-16.909
FrenchPolynesia6596,fullRetreat,0,0.472505,0.949,0.948,-143.123,-16.328
FrenchPolynesia6597,fullRetreat,43.1933380296,0.472505,1.922,0.902,-144.619,-16.868
FrenchPolynesia6598,fullRetreat,0,0.472505,0.832,1.055,-143.113,-16.331
FrenchPolynesia6599,fullRetreat,43.4664953202,0.472505,1.141,0.91,-144.611,-16.87
FrenchPolynesia6600,fullRetreat,0,0.472505,1.69,0.987,-142.354,-16.047
FrenchPolynesia6601,fullRetreat,76.330902574,0.472505,1.342,0.792,-144.604,-16.871
FrenchPolynesia6602,fullRetreat,39.5057146059,0.472505,0.975,0.792,-144.599,-16.871
FrenchPolynesia6603,fullRetreat,39.5057146059,0.472505,1.815,0.772,-144.781,-16.935
FrenchPolynesia6604,fullRetreat,113.019511897,0.472505,2.106,0.883,-143.185,-16.362
FrenchPolynesia6605,fullRetreat,0,0.472505,1.554,0.914,-142.359,-16.063
FrenchPolynesia6606,fullRetreat,90.5692263488,0.472505,2.86,1.075,-144.59,-16.872
FrenchPolynesia6607,fullRetreat,0,0.472505,1.013,0.965,-142.37,-16.078
FrenchPolynesia6608,fullRetreat,0,0.472505,1.205,0.939,-142.374,-16.084
FrenchPolynesia6609,fullRetreat,554.512031579,0.472505,16.321,0.905,-142.498,-16.084
FrenchPolynesia6610,fullRetreat,65.5239465397,0.472505,3.228,1.564,-144.578,-16.886
FrenchPolynesia6611,fullRetreat,42.4421554803,0.472505,1.396,1.0,-142.38,-16.094
FrenchPolynesia6612,fullRetreat,50.363716909,0.472505,1.525,0.939,-143.063,-16.351
FrenchPolynesia6613,fullRetreat,0,0.472505,1.77,0.772,-144.735,-16.956
FrenchPolynesia6614,fullRetreat,40.0520291872,0.472505,0.998,0.926,-142.378,-16.102
FrenchPolynesia6615,fullRetreat,58.4218569829,0.472505,1.341,1.456,-143.055,-16.355
FrenchPolynesia6616,fullRetreat,774.409113692,0.472505,22.103,0.908,-144.124,-16.714
FrenchPolynesia6617,fullRetreat,113.429247833,0.472505,6.082,0.825,-144.278,-16.809
FrenchPolynesia6618,fullRetreat,46.7443828079,0.472505,0.957,0.788,-144.576,-16.92
FrenchPolynesia6619,fullRetreat,46.6760934853,0.472505,1.008,0.882,-143.152,-16.407
FrenchPolynesia6620,fullRetreat,46.6760934853,0.472505,1.391,0.883,-143.13,-16.402
FrenchPolynesia6621,fullRetreat,76.330902574,0.472505,3.019,0.824,-144.273,-16.81
FrenchPolynesia6622,fullRetreat,56.3731773031,0.472505,0.773,1.023,-143.034,-16.369
FrenchPolynesia6623,fullRetreat,58.9681715642,0.472505,0.968,0.815,-144.699,-16.976
FrenchPolynesia6624,fullRetreat,48.0418799385,0.472505,1.218,0.926,-142.395,-16.139
FrenchPolynesia6625,fullRetreat,39.5057146059,0.472505,1.187,0.785,-144.576,-16.935
FrenchPolynesia6626,fullRetreat,39.4374252832,0.472505,1.894,0.772,-144.704,-16.978
FrenchPolynesia6627,fullRetreat,39.5057146059,0.472505,1.158,0.785,-144.574,-16.94
FrenchPolynesia6628,fullRetreat,444.138901658,0.472505,11.022,0.902,-142.529,-16.159
FrenchPolynesia6629,fullRetreat,39.4374252832,0.472505,0.983,0.772,-144.688,-16.984
FrenchPolynesia6630,fullRetreat,39.4374252832,0.472505,1.195,0.905,-142.402,-16.152
FrenchPolynesia6631,fullRetreat,39.5057146059,0.472505,1.369,0.772,-144.682,-16.985
FrenchPolynesia6632,fullRetreat,39.4374252832,0.472505,1.661,0.902,-142.511,-16.196
FrenchPolynesia6633,fullRetreat,39.4374252832,0.472505,1.019,0.905,-142.407,-16.16
FrenchPolynesia6634,fullRetreat,32.2670464038,0.472505,1.739,1.538,-144.574,-16.947
FrenchPolynesia6635,fullRetreat,0,0.472505,0.957,0.791,-144.574,-16.955
FrenchPolynesia6636,fullRetreat,47.2906973892,0.472505,0.63,0.791,-144.573,-16.96
FrenchPolynesia6637,fullRetreat,0,0.472505,1.038,0.904,-142.416,-16.174
FrenchPolynesia6638,fullRetreat,113.019511897,0.472505,2.25,0.885,-143.01,-16.392
FrenchPolynesia6639,fullRetreat,0,0.472505,2.498,0.782,-144.578,-16.96
FrenchPolynesia6640,fullRetreat,54.0513403326,0.472505,1.156,0.774,-144.646,-16.989
FrenchPolynesia6641,fullRetreat,46.7443828079,0.472505,1.664,0.773,-144.651,-16.99
FrenchPolynesia6642,fullRetreat,0,0.472505,1.474,0.777,-144.612,-16.979
FrenchPolynesia6643,fullRetreat,0,0.472505,1.421,0.781,-144.584,-16.969
FrenchPolynesia6644,fullRetreat,0,0.472505,0.815,0.781,-144.588,-16.974
FrenchPolynesia6645,fullRetreat,0,0.472505,1.158,0.78,-144.59,-16.975
FrenchPolynesia6646,fullRetreat,0,0.472505,1.271,0.904,-142.427,-16.188
FrenchPolynesia6647,fullRetreat,0,0.472505,0.953,0.868,-143.7,-16.66
FrenchPolynesia6648,fullRetreat,0,0.472505,2.577,0.779,-144.597,-16.978
FrenchPolynesia6649,fullRetreat,0,0.472505,0.944,0.908,-142.429,-16.194
FrenchPolynesia6650,fullRetreat,54.392786946,0.472505,0.761,0.908,-142.433,-16.201
FrenchPolynesia6652,fullRetreat,47.0175400986,0.472505,0.904,0.907,-142.441,-16.209
FrenchPolynesia6653,fullRetreat,3295.84399439,0.472505,50.902,0.915,-143.751,-16.555
FrenchPolynesia6654,fullRetreat,449.806573993,0.472505,7.891,0.901,-142.51,-16.207
FrenchPolynesia6655,fullRetreat,53.8464723647,0.472505,0.769,0.902,-142.445,-16.216
FrenchPolynesia6656,noAdaptation,154.283164391,0.472505,0.639,0.867,-143.565,-16.635
FrenchPolynesia6658,fullRetreat,53.8464723647,0.472505,1.669,0.902,-142.452,-16.227
FrenchPolynesia6659,fullRetreat,0,0.472505,1.134,0.901,-142.476,-16.239
FrenchPolynesia6660,fullRetreat,0,0.472505,1.024,0.901,-142.469,-16.237
FrenchPolynesia6661,fullRetreat,46.6078041626,0.472505,1.264,0.902,-142.457,-16.233
FrenchPolynesia6689,fullRetreat,1064.81253133,0.472505,49.372,1.001,-143.558,-16.624
FrenchPolynesia6690,fullRetreat,0,0.472505,0.875,0.978,-143.461,-16.711
FrenchPolynesia6693,fullRetreat,0,0.472505,0.824,0.871,-143.47,-16.723
FrenchPolynesia6696,fullRetreat,39.4374252832,0.472505,1.394,0.781,-144.4,-17.065
FrenchPolynesia6697,fullRetreat,39.5057146059,0.472505,1.158,0.779,-144.414,-17.07
FrenchPolynesia6698,fullRetreat,76.330902574,0.472505,2.238,0.777,-144.426,-17.071
FrenchPolynesia6699,fullRetreat,39.5057146059,0.472505,1.016,0.779,-144.406,-17.068
FrenchPolynesia6700,fullRetreat,39.4374252832,0.472505,0.954,0.779,-144.41,-17.07
FrenchPolynesia6701,fullRetreat,39.5057146059,0.472505,1.477,0.786,-144.352,-17.049
FrenchPolynesia6703,fullRetreat,39.5057146059,0.472505,0.64,0.786,-144.329,-17.051
FrenchPolynesia6704,fullRetreat,39.5057146059,0.472505,0.64,0.786,-144.325,-17.054
FrenchPolynesia6707,fullRetreat,39.5057146059,0.472505,0.446,0.785,-144.322,-17.06
FrenchPolynesia6708,fullRetreat,39.5057146059,0.472505,1.559,0.786,-144.315,-17.056
FrenchPolynesia6709,fullRetreat,39.5057146059,0.472505,0.438,0.785,-144.318,-17.062
FrenchPolynesia6710,fullRetreat,40.3251864778,0.472505,0.448,0.81,-144.322,-17.065
FrenchPolynesia6711,fullRetreat,48.3150372291,0.472505,0.587,0.807,-144.311,-17.062
FrenchPolynesia6712,fullRetreat,40.1886078325,0.472505,0.45,0.807,-144.315,-17.065
FrenchPolynesia6713,fullRetreat,77.25280843,0.472505,2.056,0.804,-144.305,-17.065
FrenchPolynesia6719,fullRetreat,54.0513403326,0.472505,0.57,0.949,-140.849,-15.81
FrenchPolynesia6720,fullRetreat,54.0513403326,0.472505,0.579,0.949,-140.851,-15.813
FrenchPolynesia6721,fullRetreat,443.695021061,0.472505,12.971,0.945,-140.861,-15.815
FrenchPolynesia6722,fullRetreat,39.3691359606,0.472505,0.951,0.944,-140.89,-15.833
FrenchPolynesia6724,fullRetreat,39.3691359606,0.472505,0.89,0.945,-140.885,-15.835
FrenchPolynesia6726,fullRetreat,46.53951484,0.472505,0.636,0.944,-140.878,-15.839
FrenchPolynesia6729,fullRetreat,53.7098937193,0.472505,0.642,0.944,-140.874,-15.839
FrenchPolynesia6731,noAdaptation,96.7321669957,0.472505,0.758,0.944,-140.87,-15.839
FrenchPolynesia6732,noAdaptation,96.7321669957,0.472505,0.454,0.944,-140.868,-15.839
FrenchPolynesia6733,noAdaptation,425.119300957,0.472505,12.561,0.949,-140.848,-15.808
FrenchPolynesia6734,fullRetreat,53.778183042,0.472505,1.212,0.945,-140.861,-15.837
