,optA,value,slr,L,s1,lon,lat
FrenchPolynesia6345,fullRetreat,47.4955653572,0.472505,4.616,0.868,-144.962,-16.09
FrenchPolynesia6346,fullRetreat,0,0.472505,0.618,0.886,-144.918,-16.08
FrenchPolynesia6347,fullRetreat,41.0763690271,0.472505,2.144,0.905,-144.985,-16.101
FrenchPolynesia6348,fullRetreat,59.4461968229,0.472505,0.631,0.904,-144.992,-16.107
France5516,fullRetreat,2577.04684859,0.547475,36.677,1.438,-176.151,-13.216
France5529,fullRetreat,390.908388395,0.547475,28.471,1.463,-175.634,-15.561
FrenchPolynesia6349,fullRetreat,0,0.472505,1.784,0.998,-144.912,-16.081
FrenchPolynesia6357,fullRetreat,63.4752668598,0.472505,1.738,0.942,-144.859,-16.1
FrenchPolynesia6361,fullRetreat,39.9837398645,0.472505,1.661,0.87,-144.997,-16.167
FrenchPolynesia6362,fullRetreat,39.9837398645,0.472505,1.126,0.87,-144.992,-16.171
FrenchPolynesia6363,fullRetreat,39.9837398645,0.472505,0.632,0.87,-144.988,-16.175
FrenchPolynesia6364,fullRetreat,47.8370119705,0.472505,0.638,0.87,-144.988,-16.177
FrenchPolynesia6365,fullRetreat,47.1541187439,0.472505,0.437,0.859,-144.984,-16.177
FrenchPolynesia6366,fullRetreat,32.2670464038,0.472505,3.373,0.981,-144.826,-16.117
FrenchPolynesia6367,fullRetreat,48.5199051971,0.472505,0.813,0.885,-144.814,-16.125
FrenchPolynesia6368,fullRetreat,48.5199051971,0.472505,0.979,0.885,-144.81,-16.126
FrenchPolynesia6369,fullRetreat,55.3488374632,0.472505,1.463,0.865,-144.98,-16.185
FrenchPolynesia6372,fullRetreat,57.6706744337,0.472505,0.886,0.891,-144.808,-16.13
FrenchPolynesia6375,fullRetreat,39.5740039286,0.472505,2.208,0.864,-144.805,-16.132
FrenchPolynesia6376,fullRetreat,54.5293655913,0.472505,2.941,0.858,-144.981,-16.196
FrenchPolynesia6377,fullRetreat,39.5740039286,0.472505,0.778,0.858,-144.975,-16.206
FrenchPolynesia6378,fullRetreat,51.9343713302,0.472505,1.843,0.931,-144.797,-16.14
FrenchPolynesia6381,fullRetreat,47.3589867119,0.472505,3.026,0.867,-144.788,-16.153
FrenchPolynesia6384,fullRetreat,54.2562083006,0.472505,0.826,0.861,-144.787,-16.166
FrenchPolynesia6385,fullRetreat,47.1541187439,0.472505,6.912,0.86,-144.971,-16.207
FrenchPolynesia6386,fullRetreat,48.1784585838,0.472505,0.814,0.878,-144.788,-16.171
FrenchPolynesia6388,fullRetreat,57.5340957884,0.472505,0.823,1.007,-144.785,-16.175
FrenchPolynesia6389,fullRetreat,63.8850027958,0.472505,0.807,0.944,-144.784,-16.179
FrenchPolynesia6390,fullRetreat,47.4272760346,0.472505,0.814,0.867,-144.782,-16.182
FrenchPolynesia6392,fullRetreat,47.2906973892,0.472505,1.26,0.86,-144.944,-16.241
FrenchPolynesia6393,fullRetreat,39.5057146059,0.472505,0.826,0.858,-144.779,-16.188
FrenchPolynesia6396,fullRetreat,47.1541187439,0.472505,3.486,0.864,-144.779,-16.195
FrenchPolynesia6397,fullRetreat,0,0.472505,1.175,0.856,-144.913,-16.255
FrenchPolynesia6398,fullRetreat,0,0.472505,1.268,0.856,-144.91,-16.256
FrenchPolynesia6399,fullRetreat,0,0.472505,1.124,0.856,-144.905,-16.258
FrenchPolynesia6400,fullRetreat,0,0.472505,1.182,0.856,-144.9,-16.262
FrenchPolynesia6401,fullRetreat,0,0.472505,0.811,0.855,-144.894,-16.266
FrenchPolynesia6402,fullRetreat,0,0.472505,1.146,0.855,-144.889,-16.269
FrenchPolynesia6403,fullRetreat,0,0.472505,0.813,0.856,-144.821,-16.254
FrenchPolynesia6404,fullRetreat,0,0.472505,1.925,0.856,-144.823,-16.257
FrenchPolynesia6405,fullRetreat,0,0.472505,1.338,0.855,-144.829,-16.265
FrenchPolynesia6406,fullRetreat,0,0.472505,1.468,0.855,-144.861,-16.275
